datetime,open,high,low,close,volume,symbol
2019-12-01,151.81,159.55,146.64999,157.7,450303300,MSFT
2020-01-01,158.78,174.05,156.50999,170.23,558530000,MSFT
2020-02-01,170.42999,190.7,152.0,162.00999,887522300,MSFT
2020-03-01,165.31,175.0,132.52,157.71001,1612695500,MSFT
2020-04-01,153.0,180.39999,150.36,179.21001,984705000,MSFT
2020-05-01,175.8,187.50999,173.8,183.25,688845000,MSFT
2020-06-01,182.53999,204.39999,181.35001,203.50999,764965400,MSFT
2020-07-01,203.14,216.38,197.50999,205.00999,770190800,MSFT
2020-08-01,211.52,231.14999,203.14,225.53,692423900,MSFT
2020-09-01,225.50999,232.86,196.25,210.33,768176300,MSFT
2020-10-01,213.49001,225.21001,199.62,202.47,631618000,MSFT
2020-11-01,204.28999,228.12,200.12,214.07001,573443000,MSFT
2020-12-01,214.50999,227.17999,209.11,222.42,594761700,MSFT
2021-01-01,222.53,242.64,211.94,231.96001,648076400,MSFT
2021-02-01,235.06,246.13,227.88,232.38,490962200,MSFT
2021-03-01,235.89999,241.05,224.25999,235.77,724945800,MSFT
2021-04-01,238.47,263.19,238.05,252.17999,568661600,MSFT
2021-05-01,253.39999,254.35001,238.07001,249.67999,495084900,MSFT
2021-06-01,251.23,271.64999,243.0,270.89999,508572200,MSFT
2021-07-01,269.60999,290.14999,269.60001,284.91,522672700,MSFT
2021-08-01,286.35999,305.84,283.73999,301.88,441308900,MSFT
2021-09-01,302.87,305.32001,281.62,281.92001,502918700,MSFT
2021-10-01,282.12,332.0,280.25,331.62,516515800,MSFT
2021-11-01,331.35999,349.67001,326.37,330.59,509885200,MSFT
2021-12-01,335.13,344.29999,317.25,336.32001,625674800,MSFT
2022-01-01,335.35001,338.0,276.04999,310.98001,947531400,MSFT
2022-02-01,310.41,315.12,271.51999,298.79001,697050600,MSFT
2022-03-01,296.39999,315.95001,270.0,308.31,734334200,MSFT
2022-04-01,309.37,315.10999,270.0,277.51999,627343400,MSFT
2022-05-01,277.70999,290.88,246.44,271.87,742902000,MSFT
2022-06-01,275.20001,277.69,241.50999,256.82999,621372300,MSFT
2022-07-01,256.39001,282.0,245.94,280.73999,534891800,MSFT
2022-08-01,277.82001,294.17999,260.66,261.47,477157600,MSFT
2022-09-01,258.87,267.45001,232.73,232.89999,575586600,MSFT
2022-10-01,235.41,251.03999,219.13,232.13,671225100,MSFT
2022-11-01,234.60001,255.33,213.42999,255.14,615296000,MSFT
2022-12-01,253.87,263.92001,233.87,239.82001,591358700,MSFT
2023-01-01,243.08,249.83,219.35001,247.81,666168100,MSFT
2023-02-01,248.0,276.76001,245.47,249.42,615501000,MSFT
2023-03-01,250.75999,289.26999,245.61,288.29999,747635000,MSFT
2023-04-01,286.51999,308.92999,275.37,307.26001,551497100,MSFT
2023-05-01,306.97,335.94,303.39999,328.39001,600807200,MSFT
2023-06-01,325.92999,351.47,322.5,340.54001,547588700,MSFT
2023-07-01,339.19,366.78,327.0,335.92001,666764400,MSFT
2023-08-01,335.19,338.54001,311.54999,327.76001,479456700,MSFT
2023-09-01,331.31,340.85999,309.45001,315.75,416680700,MSFT
2023-10-01,316.28,346.20001,311.20999,338.10999,540907000,MSFT
2023-11-01,339.79001,384.29999,339.64999,378.91,563880300,MSFT
2023-12-01,376.76001,378.16,362.89999,376.04001,522003700,MSFT
2024-01-01,373.85999,415.32001,366.5,397.57999,528399000,MSFT
2024-02-01,401.82999,420.82001,397.22,413.64001,444176300,MSFT
2024-03-01,411.26999,430.82001,398.39001,420.72,426349600,MSFT
2024-04-01,423.95001,429.37,388.03,389.32999,440777700,MSFT
2024-05-01,392.60999,433.60001,390.31,415.13,413800800,MSFT
2024-06-01,415.53,456.17001,408.92001,446.95001,342370400,MSFT
2024-07-01,448.66,468.35001,412.20999,418.35001,440449200,MSFT
2024-08-01,420.79001,427.45999,385.57999,417.14001,451919000,MSFT
2024-09-01,417.91,441.85001,400.79999,430.29999,376921200,MSFT
2024-10-01,428.45001,438.5,406.29999,406.35001,440745500,MSFT
2024-11-01,409.01001,429.32999,405.57001,423.45999,442321200,MSFT
2024-12-01,421.57001,456.16,420.66,421.5,439902400,MSFT
